time,open,high,low,close,Short MA,Mid MA,Long MA,Short MA Forecast 1,Short MA Forecast 2,Short MA Forecast 3,Mid MA Forecast 1,Mid MA Forecast 2,Mid MA Forecast 3,Long MA Forecast 1,Long MA Forecast 2,Long MA Forecast 3,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Plot,Plot,Volume,Volume MA,RSI,Premium Index,Funding Rate
2013-03-30T20:00:00-04:00,93.3,100,93.03,93.10001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,378.15574231,NaN,NaN,NaN,NaN
2013-03-31T20:00:00-04:00,93.17,105.9,92.49999,102.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4919.65412713,NaN,NaN,NaN,NaN
2013-04-01T20:00:00-04:00,102.8,118.3880667,99,117.98999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9084.83281592,NaN,NaN,NaN,NaN
2013-04-02T20:00:00-04:00,116.5790967,146.88,101.51088,134.9529689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12909.40217815,NaN,NaN,NaN,NaN
2013-04-03T20:00:00-04:00,131.7796862,143,119,132.681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6910.10041349,NaN,NaN,NaN,NaN
2013-04-04T20:00:00-04:00,132.75,145,131.503,140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4838.18497163,NaN,NaN,NaN,NaN
2013-04-05T20:00:00-04:00,141,144,140.902,143.97,123.58056698571428,NaN,NaN,123.01342412857143,120.92228127142859,121.89598222857141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2170.75030329,NaN,NaN,NaN,NaN
2013-04-06T20:00:00-04:00,144,174.4,143.501,174.4,135.19485127142858,NaN,NaN,130.84770841428573,129.7134227,126.57670841428573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3735.13031724,NaN,NaN,NaN,NaN
2013-04-07T20:00:00-04:00,172.5,200,166.693,194.5,148.35627984285716,NaN,NaN,145.48485127142857,136.79056555714286,135.0891369857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10616.2750732,NaN,NaN,NaN,NaN
2013-04-08T20:00:00-04:00,190.51,249.97,188.898,233.115,164.80270984285715,NaN,NaN,159.28628127142858,153.54342412857142,140.50199555714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6188.91889415,NaN,NaN,NaN,NaN
2013-04-09T20:00:00-04:00,233.49,290,19.9,170.986,169.9502857142857,NaN,NaN,178.82585714285713,167.79300000000003,159.17871428571428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17906.04222014,NaN,NaN,NaN,NaN
2013-04-10T20:00:00-04:00,169.005,188,1.06,120,168.1387142857143,NaN,NaN,175.42242857142855,193.17357142857142,176.6242857142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15024.78172248,NaN,NaN,NaN,NaN
2013-04-11T20:00:00-04:00,111,157,51,114.71,164.52585714285715,NaN,NaN,165.28157142857143,179.84899999999996,206.4757142857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43253.49325315,NaN,NaN,NaN,NaN
2013-04-12T20:00:00-04:00,112.974,123.878,81.12,97.599,157.9014285714286,NaN,NaN,160.34585714285714,161.85728571428575,183.70842857142856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19843.72797545,NaN,NaN,NaN,NaN
2013-04-13T20:00:00-04:00,98.771,109,20,95,146.55857142857144,NaN,NaN,146.92985714285714,151.81871428571432,154.08585714285715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16732.68495874,NaN,50.33607450372011,NaN,NaN
2013-04-14T20:00:00-04:00,95,104,71.497,78.001,129.91585714285716,NaN,NaN,132.34428571428572,133.08685714285716,140.42014285714288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16361.2300091,NaN,47.27447076627942,NaN,NaN
2013-04-15T20:00:00-04:00,77.502,82.5,0.01,70.11,106.62942857142859,NaN,NaN,107.7567142857143,112.61357142857143,113.7274285714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26137.58438334,NaN,45.87944838243982,NaN,NaN
2013-04-16T20:00:00-04:00,70.304,98.9,70.095,91.797,95.31671428571431,NaN,NaN,92.21857142857142,94.47314285714288,101.7584285714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20450.76431541,NaN,50.226592088960935,NaN,NaN
2013-04-17T20:00:00-04:00,90,114.28,88.839,114.28,94.49957142857146,NaN,NaN,91.28771428571429,85.09142857142861,88.47328571428572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8005.04806461,NaN,54.32278899924255,NaN,NaN
2013-04-18T20:00:00-04:00,114.07,142,110,116.95,94.81957142857144,NaN,NaN,94.43814285714284,88.01442857142861,78.72000000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21905.83536899,13368.629855395997,54.79853770704967,NaN,NaN
2013-04-19T20:00:00-04:00,116.401,132,115,126,98.87685714285715,NaN,NaN,97.58399999999999,96.82114285714287,87.18557142857148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4621.18409622,13580.781273091497,56.45410655391642,NaN,NaN
2013-04-20T20:00:00-04:00,126,129.45,110,121,102.59114285714286,NaN,NaN,103.30542857142858,100.71971428571432,99.57542857142859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11580.98597852,13913.847865660999,55.25008619831897,NaN,NaN
2013-04-21T20:00:00-04:00,121.8,129.75,120,127.596,109.67614285714286,NaN,NaN,108.73385714285715,110.16242857142859,106.28385714285719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8104.99347638,13864.855898683998,56.56610588184445,NaN,NaN
2013-04-22T20:00:00-04:00,127.612,145.9,126.5,145.9,120.50328571428572,NaN,NaN,117.88842857142858,116.00385714285719,118.14671428571432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11532.9540068,13796.033490116499,60.07496202521258,NaN,NaN
