time,open,high,low,close,Short MA,Mid MA,Long MA,Short MA Forecast 1,Short MA Forecast 2,Short MA Forecast 3,Mid MA Forecast 1,Mid MA Forecast 2,Mid MA Forecast 3,Long MA Forecast 1,Long MA Forecast 2,Long MA Forecast 3,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Plot,Plot,Volume,Volume MA,RSI,Premium Index,Funding Rate
2021-12-12T17:00:00-05:00,49987,50349,49977,50336,50226.85714285716,48936.43738324442,49306.283895158005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,111.95220447,165.25050405099762,62.41186977411427,-0.035475,0.010000000000000002
2021-12-12T18:00:00-05:00,50337,50398,50003.97783023,50123,50256.14285714288,48979.75738324442,49315.593895158,50286.57142857146,NaN,NaN,48984.01738324443,NaN,NaN,49316.65889515802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,123.75410673,167.18561108699762,58.41493373221743,-0.036085,0.010000000000000002
2021-12-12T19:00:00-05:00,50116.77552521,50234,49618,49681,50167.57142857144,49022.75738324442,49324.36389515801,50230.71428571431,50291.57142857148,NaN,49031.59738324443,49040.11738324426,NaN,49326.57389515802,49328.70389515796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,218.89288502,169.95648802849763,51.10150482857941,-0.04052083333333333,0.00947916666666667
2021-12-12T20:00:00-05:00,49666,49666,48610,48628,49897.28571428573,49051.15738324442,49325.903895158,50047.71428571431,50174.00000000005,50265.28571428569,49072.21738324443,49089.897383244264,49102.67738324403,49331.16889515802,49335.588895157955,49338.78389515798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,538.56993027,191.8375656439976,38.67783075670054,-0.044439285714285716,0.005560714285714287
2021-12-12T21:00:00-05:00,48629,48904,48488,48831,49695.28571428573,49072.01738324441,49325.39389515799,49666.28571428574,49967.142857142906,50156.5714285714,49067.95738324443,49110.077383244265,49136.597383244036,49324.37889515802,49334.908895157954,49341.53889515799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,53096.21419887,50592.1341712,272.60069679,200.5111351979976,41.62429289193437,-0.046825,0.003175000000000004
2021-12-12T22:00:00-05:00,48831,49114,48760,48895,49496.000000000015,49090.55738324441,49323.16889515799,49486.85714285716,49428.857142857196,49880.142857142826,49089.27738324443,49081.157383244274,49144.33738324404,49322.84889515802,49320.81889515796,49336.613895157985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,53096.21419887,50592.1341712,136.12155126,202.96581896049761,42.56132906519252,-0.10245,-0.05245
2021-12-12T23:00:00-05:00,48897,49149,48794.80553899,49085,49368.42857142859,49106.53738324441,49322.033895158,49341.28571428573,49323.00000000005,49235.99999999996,49102.73738324443,49100.17738324427,49087.99738324404,49321.08389515802,49320.44389515796,49317.39889515799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,53096.21419887,50592.1341712,187.64702446,206.24867112549765,45.36516224339025,-0.0985875,-0.04858749999999999
2021-12-13T00:00:00-05:00,49085,49374,48905.27746075,49287,49218.57142857146,49125.43738324441,49324.703895157996,49189.714285714304,49135.42857142863,49107.99999999996,49121.39738324443,49113.79738324427,49109.95738324403,49323.693895158016,49321.793895157956,49320.833895157986,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,119.72907225,203.82827234349764,48.25704995493178,-0.092675,-0.04267499999999999
2021-12-13T01:00:00-05:00,49283,49352,48984.89983939,49035.14475086,49063.163535837164,49134.38027826161,49323.434618912295,49099.14285714288,49041.42857142862,48959.99999999996,49139.41738324443,49131.337383244274,49119.93738324404,49324.69389515802,49322.67389515796,49319.823895157984,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,150.27494392,203.66964338899766,45.054924416685076,-0.08502499999999999,-0.03502499999999999
2021-12-13T02:00:00-05:00,49034,49064,48668,48793.73582792,48936.411511254315,49143.55499482001,49321.158298051894,48970.89850024573,49042.857142857196,48956.28571428568,49148.38317327883,49158.45738324427,49146.33738324403,49322.36534266662,49324.88389515796,49321.85389515798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53096.21419887,50592.1341712,291.41520922,211.41854450799764,42.16667971507601,-0.07402,-0.02402
